楼栋,房号,套内面积,建筑面积,所在层,规划用途,备案总价(元),户型,销售状态
春月金沙府6幢27号301,301,107.81 ㎡,139.51 ㎡,3,住宅,5309871,4室2厅1厨2卫,未网签
春月金沙府6幢27号302,302,108.04 ㎡,139.81 ㎡,3,住宅,5302208,4室2厅1厨2卫,未网签
春月金沙府6幢27号401,401,107.81 ㎡,139.51 ㎡,4,住宅,5450293,4室2厅1厨2卫,未网签
春月金沙府6幢27号402,402,108.04 ㎡,139.81 ㎡,4,住宅,5442932,4室2厅1厨2卫,未网签
春月金沙府6幢27号501,501,107.81 ㎡,139.51 ㎡,5,住宅,5474093,4室2厅1厨2卫,未网签
春月金沙府6幢27号502,502,108.04 ㎡,139.81 ㎡,5,住宅,5466784,4室2厅1厨2卫,未网签
春月金沙府6幢27号601,601,107.81 ㎡,139.51 ㎡,6,住宅,5497894,4室2厅1厨2卫,未网签
春月金沙府6幢27号602,602,108.04 ㎡,139.81 ㎡,6,住宅,5490635,4室2厅1厨2卫,未网签
春月金沙府6幢27号701,701,107.81 ㎡,139.51 ㎡,7,住宅,5521694,4室2厅1厨2卫,未网签
春月金沙府6幢27号702,702,108.04 ㎡,139.81 ㎡,7,住宅,5514487,4室2厅1厨2卫,未网签
春月金沙府6幢27号801,801,107.81 ㎡,139.51 ㎡,8,住宅,5545495,4室2厅1厨2卫,未网签
春月金沙府6幢27号802,802,108.04 ㎡,139.81 ㎡,8,住宅,5538338,4室2厅1厨2卫,未网签
春月金沙府6幢27号901,901,107.81 ㎡,139.51 ㎡,9,住宅,5569295,4室2厅1厨2卫,未网签
春月金沙府6幢27号902,902,108.04 ㎡,139.81 ㎡,9,住宅,5562190,4室2厅1厨2卫,未网签
春月金沙府7幢28号1001,1001,102.19 ㎡,132.70 ㎡,10,住宅,5093690,4室2厅1厨2卫,未网签
春月金沙府7幢28号1002,1002,102.19 ㎡,132.70 ㎡,10,住宅,4935219,4室2厅1厨2卫,未网签
春月金沙府7幢28号1101,1101,102.19 ㎡,132.70 ㎡,11,住宅,5116328,4室2厅1厨2卫,未网签
春月金沙府7幢28号1102,1102,102.19 ㎡,132.70 ㎡,11,住宅,4957858,4室2厅1厨2卫,未网签
春月金沙府7幢28号1201,1201,102.19 ㎡,132.70 ㎡,12,住宅,5138967,4室2厅1厨2卫,未网签
春月金沙府7幢28号1202,1202,102.19 ㎡,132.70 ㎡,12,住宅,4980496,4室2厅1厨2卫,未网签
春月金沙府7幢28号1301,1301,102.19 ㎡,132.70 ㎡,13,住宅,5161605,4室2厅1厨2卫,未网签
春月金沙府7幢28号1302,1302,102.19 ㎡,132.70 ㎡,13,住宅,5003135,4室2厅1厨2卫,未网签
春月金沙府7幢28号1401,1401,102.19 ㎡,132.70 ㎡,14,住宅,5161605,4室2厅1厨2卫,未网签
春月金沙府7幢28号1402,1402,102.19 ㎡,132.70 ㎡,14,住宅,5003135,4室2厅1厨2卫,未网签
春月金沙府7幢28号1501,1501,102.19 ㎡,132.70 ㎡,15,住宅,5170661,4室2厅1厨2卫,未网签
春月金沙府7幢28号1502,1502,102.19 ㎡,132.70 ㎡,15,住宅,5012190,4室2厅1厨2卫,未网签
春月金沙府7幢28号1601,1601,102.19 ㎡,132.70 ㎡,16,住宅,5179716,4室2厅1厨2卫,未网签
春月金沙府7幢28号1602,1602,102.19 ㎡,132.70 ㎡,16,住宅,5021246,4室2厅1厨2卫,未网签
春月金沙府7幢28号1701,1701,102.19 ㎡,132.70 ㎡,17,住宅,5003135,4室2厅1厨2卫,未网签
春月金沙府7幢28号1702,1702,102.19 ㎡,132.70 ㎡,17,住宅,4844665,4室2厅1厨2卫,未网签
春月金沙府7幢28号201,201,102.19 ㎡,132.70 ㎡,2,住宅,4558513,4室2厅1厨2卫,未网签
春月金沙府7幢28号202,202,102.19 ㎡,132.70 ㎡,2,住宅,4400042,4室2厅1厨2卫,未网签
春月金沙府7幢28号301,301,102.19 ㎡,132.70 ㎡,3,住宅,4824290,4室2厅1厨2卫,未网签
春月金沙府7幢28号302,302,102.19 ㎡,132.70 ㎡,3,住宅,4665820,4室2厅1厨2卫,未网签
春月金沙府7幢28号401,401,102.19 ㎡,132.70 ㎡,4,住宅,4957858,4室2厅1厨2卫,未网签
春月金沙府7幢28号402,402,102.19 ㎡,132.70 ㎡,4,住宅,4799387,4室2厅1厨2卫,未网签
春月金沙府7幢28号501,501,102.19 ㎡,132.70 ㎡,5,住宅,4980496,4室2厅1厨2卫,未网签
春月金沙府7幢28号502,502,102.19 ㎡,132.70 ㎡,5,住宅,4822026,4室2厅1厨2卫,未网签
春月金沙府7幢28号601,601,102.19 ㎡,132.70 ㎡,6,住宅,5003135,4室2厅1厨2卫,未网签
春月金沙府7幢28号602,602,102.19 ㎡,132.70 ㎡,6,住宅,4844665,4室2厅1厨2卫,未网签
春月金沙府7幢28号701,701,102.19 ㎡,132.70 ㎡,7,住宅,5025774,4室2厅1厨2卫,未网签
春月金沙府7幢28号702,702,102.19 ㎡,132.70 ㎡,7,住宅,4867303,4室2厅1厨2卫,未网签
春月金沙府7幢28号801,801,102.19 ㎡,132.70 ㎡,8,住宅,5048412,4室2厅1厨2卫,未网签
春月金沙府7幢28号802,802,102.19 ㎡,132.70 ㎡,8,住宅,4889942,4室2厅1厨2卫,未网签
春月金沙府7幢28号901,901,102.19 ㎡,132.70 ㎡,9,住宅,5071051,4室2厅1厨2卫,未网签
春月金沙府7幢28号902,902,102.19 ㎡,132.70 ㎡,9,住宅,4912581,4室2厅1厨2卫,未网签
春月金沙府8幢32号1001,1001,102.19 ㎡,132.74 ㎡,10,住宅,5117870,4室2厅1厨2卫,未网签
春月金沙府8幢32号1002,1002,102.19 ㎡,132.74 ㎡,10,住宅,5117870,4室2厅1厨2卫,未网签
春月金沙府8幢32号1101,1101,102.19 ㎡,132.74 ㎡,11,住宅,5140516,4室2厅1厨2卫,未网签
春月金沙府8幢32号1102,1102,102.19 ㎡,132.74 ㎡,11,住宅,5140516,4室2厅1厨2卫,未网签
春月金沙府8幢32号1201,1201,102.19 ㎡,132.74 ㎡,12,住宅,5163161,4室2厅1厨2卫,未网签
春月金沙府8幢32号1202,1202,102.19 ㎡,132.74 ㎡,12,住宅,5163161,4室2厅1厨2卫,未网签
春月金沙府8幢32号1301,1301,102.19 ㎡,132.74 ㎡,13,住宅,5185807,4室2厅1厨2卫,未网签
春月金沙府8幢32号1302,1302,102.19 ㎡,132.74 ㎡,13,住宅,5185807,4室2厅1厨2卫,未网签
春月金沙府8幢32号1401,1401,102.19 ㎡,132.74 ㎡,14,住宅,5185807,4室2厅1厨2卫,未网签
春月金沙府8幢32号1402,1402,102.19 ㎡,132.74 ㎡,14,住宅,5185807,4室2厅1厨2卫,未网签
春月金沙府8幢32号1501,1501,102.19 ㎡,132.74 ㎡,15,住宅,5194865,4室2厅1厨2卫,未网签
春月金沙府8幢32号1502,1502,102.19 ㎡,132.74 ㎡,15,住宅,5194865,4室2厅1厨2卫,未网签
春月金沙府8幢32号1601,1601,102.19 ㎡,132.74 ㎡,16,住宅,5203923,4室2厅1厨2卫,未网签
春月金沙府8幢32号1602,1602,102.19 ㎡,132.74 ㎡,16,住宅,5203923,4室2厅1厨2卫,未网签
春月金沙府8幢32号1701,1701,102.19 ㎡,132.74 ㎡,17,住宅,5027289,4室2厅1厨2卫,未网签
春月金沙府8幢32号1702,1702,102.19 ㎡,132.74 ㎡,17,住宅,5027289,4室2厅1厨2卫,未网签
春月金沙府8幢32号201,201,102.19 ㎡,132.74 ㎡,2,住宅,4582532,4室2厅1厨2卫,未网签
春月金沙府8幢32号202,202,102.19 ㎡,132.74 ㎡,2,住宅,4582532,4室2厅1厨2卫,未网签
春月金沙府8幢32号301,301,102.19 ㎡,132.74 ㎡,3,住宅,4848390,4室2厅1厨2卫,未网签
春月金沙府8幢32号302,302,102.19 ㎡,132.74 ㎡,3,住宅,4848390,4室2厅1厨2卫,未网签
春月金沙府8幢32号401,401,102.19 ㎡,132.74 ㎡,4,住宅,4981998,4室2厅1厨2卫,未网签
春月金沙府8幢32号402,402,102.19 ㎡,132.74 ㎡,4,住宅,4981998,4室2厅1厨2卫,未网签
春月金沙府8幢32号501,501,102.19 ㎡,132.74 ㎡,5,住宅,5004643,4室2厅1厨2卫,未网签
春月金沙府8幢32号502,502,102.19 ㎡,132.74 ㎡,5,住宅,5004643,4室2厅1厨2卫,未网签
春月金沙府8幢32号601,601,102.19 ㎡,132.74 ㎡,6,住宅,5027289,4室2厅1厨2卫,未网签
春月金沙府8幢32号602,602,102.19 ㎡,132.74 ㎡,6,住宅,5027289,4室2厅1厨2卫,未网签
春月金沙府8幢32号701,701,102.19 ㎡,132.74 ㎡,7,住宅,5049934,4室2厅1厨2卫,未网签
春月金沙府8幢32号702,702,102.19 ㎡,132.74 ㎡,7,住宅,5049934,4室2厅1厨2卫,未网签
春月金沙府8幢32号801,801,102.19 ㎡,132.74 ㎡,8,住宅,5072579,4室2厅1厨2卫,未网签
春月金沙府8幢32号802,802,102.19 ㎡,132.74 ㎡,8,住宅,5072579,4室2厅1厨2卫,未网签
春月金沙府8幢32号901,901,102.19 ㎡,132.74 ㎡,9,住宅,5095225,4室2厅1厨2卫,未网签
春月金沙府8幢32号902,902,102.19 ㎡,132.74 ㎡,9,住宅,5095225,4室2厅1厨2卫,未网签
春月金沙府9幢36号1002,1002,106.95 ㎡,139.07 ㎡,10,住宅,5528005,4室2厅1厨2卫,未网签
春月金沙府9幢37号1003,1003,106.95 ㎡,139.18 ㎡,10,住宅,5532377,4室2厅1厨2卫,未网签
春月金沙府9幢36号1102,1102,106.95 ㎡,139.07 ㎡,11,住宅,5551730,4室2厅1厨2卫,未网签
春月金沙府9幢37号1103,1103,106.95 ㎡,139.18 ㎡,11,住宅,5556121,4室2厅1厨2卫,未网签
春月金沙府9幢36号1202,1202,106.95 ㎡,139.07 ㎡,12,住宅,5575455,4室2厅1厨2卫,未网签
春月金沙府9幢37号1203,1203,106.95 ㎡,139.18 ㎡,12,住宅,5579865,4室2厅1厨2卫,未网签
春月金沙府9幢36号1302,1302,106.95 ㎡,139.07 ㎡,13,住宅,5599181,4室2厅1厨2卫,未网签
春月金沙府9幢37号1303,1303,106.95 ㎡,139.18 ㎡,13,住宅,5603609,4室2厅1厨2卫,未网签
春月金沙府9幢36号1402,1402,106.95 ㎡,139.07 ㎡,14,住宅,5599181,4室2厅1厨2卫,未网签
春月金沙府9幢37号1403,1403,106.95 ㎡,139.18 ㎡,14,住宅,5603609,4室2厅1厨2卫,未网签
春月金沙府9幢36号1502,1502,106.95 ㎡,139.07 ㎡,15,住宅,5433103,4室2厅1厨2卫,未网签
春月金沙府9幢37号1503,1503,106.95 ㎡,139.18 ㎡,15,住宅,5437401,4室2厅1厨2卫,未网签
春月金沙府9幢36号202,202,106.95 ㎡,139.07 ㎡,2,住宅,4967138,4室2厅1厨2卫,未网签
春月金沙府9幢37号203,203,106.95 ㎡,139.18 ㎡,2,住宅,4971066,4室2厅1厨2卫,未网签
春月金沙府9幢36号302,302,106.95 ㎡,139.07 ㎡,3,住宅,5245673,4室2厅1厨2卫,未网签
春月金沙府9幢37号303,303,106.95 ㎡,139.18 ㎡,3,住宅,5249822,4室2厅1厨2卫,未网签
春月金沙府9幢36号402,402,106.95 ㎡,139.07 ㎡,4,住宅,5385653,4室2厅1厨2卫,未网签
春月金沙府9幢37号403,403,106.95 ㎡,139.18 ㎡,4,住宅,5389913,4室2厅1厨2卫,未网签
春月金沙府9幢36号502,502,106.95 ㎡,139.07 ㎡,5,住宅,5409378,4室2厅1厨2卫,未网签
春月金沙府9幢37号503,503,106.95 ㎡,139.18 ㎡,5,住宅,5413657,4室2厅1厨2卫,未网签
春月金沙府9幢36号602,602,106.95 ㎡,139.07 ㎡,6,住宅,5433103,4室2厅1厨2卫,未网签
春月金沙府9幢37号603,603,106.95 ㎡,139.18 ㎡,6,住宅,5437401,4室2厅1厨2卫,未网签
春月金沙府9幢36号702,702,106.95 ㎡,139.07 ㎡,7,住宅,5456829,4室2厅1厨2卫,未网签
春月金沙府9幢37号703,703,106.95 ㎡,139.18 ㎡,7,住宅,5461145,4室2厅1厨2卫,未网签
春月金沙府9幢36号802,802,106.95 ㎡,139.07 ㎡,8,住宅,5480554,4室2厅1厨2卫,未网签
春月金沙府9幢37号803,803,106.95 ㎡,139.18 ㎡,8,住宅,5484889,4室2厅1厨2卫,未网签
春月金沙府9幢36号902,902,106.95 ㎡,139.07 ㎡,9,住宅,5504279,4室2厅1厨2卫,未网签
春月金沙府9幢37号903,903,106.95 ㎡,139.18 ㎡,9,住宅,5508633,4室2厅1厨2卫,未网签
